Name,URL,Duration,UpdateInterval,StartOn,EndBy,Cache
Exhibitwifi,https://raw.githubusercontent.com/MCOETech/Exhibit/main/Static/Exhibitwifi.png,0:00:15,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Adapter,https://raw.githubusercontent.com/MCOETech/Exhibit/main/Static/adapter.png,0:00:15,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
quaso,https://github.com/MCOETech/Exhibit/raw/main/Videos/quaso.mp4,0:00:22,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Trust,https://github.com/MCOETech/Exhibit/raw/main/Videos/trust.mp4,0:00:15,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Falala,https://github.com/MCOETech/Exhibit/raw/main/Videos/falala.mp4,0:00:15,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Fail,https://github.com/MCOETech/Exhibit/raw/main/Videos/fail.mp4,0:00:25,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Life,https://github.com/MCOETech/Exhibit/raw/main/Videos/life.mp4,0:00:30,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Presents,https://github.com/MCOETech/Exhibit/raw/main/Videos/presents.mp4,0:00:15,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Running,https://github.com/MCOETech/Exhibit/raw/main/Videos/running.mp4,0:00:23,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Deserve,https://github.com/MCOETech/Exhibit/raw/main/Videos/deserve.mp4,0:00:30,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
